comments,sentiments,grade,score,ScenicSpot,labels
"设施很好，孩子坐的很开心，意犹未尽！
老母亲恐高，吓得慌。",0.99962564,0,5,青岛海泉湾海洋之星摩天轮,pretty good
一般一会儿结束了,0.450609997,0,4,青岛海泉湾海洋之星摩天轮,just so so
很大的摩天轮，非常好,0.977770826,1,5,青岛海泉湾海洋之星摩天轮,pretty good
非常好，感觉地上的人像小蚂蚁一样，爽极了,0.895201546,0,5,青岛海泉湾海洋之星摩天轮,pretty good
带孩子体验的真不错 孩子特别喜欢 不出即墨就可以坐的摩天轮🎡,0.9997374,1,5,青岛海泉湾海洋之星摩天轮,pretty good
强烈推荐，工作人员服务热情，很专业,0.898604287,1,5,青岛海泉湾海洋之星摩天轮,pretty good
很好玩服务也好，强烈推荐大家开玩,0.901323421,1,5,青岛海泉湾海洋之星摩天轮,pretty good
强烈推荐！孩子坐的很开心，意犹未尽！,0.998169045,1,5,青岛海泉湾海洋之星摩天轮,pretty good
非常棒！景色优美！,0.998486413,1,5,青岛海泉湾海洋之星摩天轮,pretty good
工作人员服务态度很热情，环境也不错，值得推荐！,0.990548443,1,5,青岛海泉湾海洋之星摩天轮,pretty good
高处的风景更优美，票价也不贵，建议大家体验体验,0.862082436,1,4,青岛海泉湾海洋之星摩天轮,pretty good
服务态度一点都不好~尤其6.29号下午~问那个售票员爱理不理的德行~再也不想去了,8.30E-05,0,1,青岛海泉湾海洋之星摩天轮,pretty bad
"特别好玩儿和姐姐一起看看风景特别好,还有空调",0.996495083,1,5,青岛海泉湾海洋之星摩天轮,pretty good
真的推荐情侣去，特别好，在海边，完事还可以去海边看一看。只是位置比较偏，坐地铁也是可以的，但是值得一去。在地铁上可以可以看风景，有一段是可以看到崂山风景区的吧。如果有机会，情侣去看看，还是很有意义的事情！据说一圈是18分钟哦！不是所说的13分14秒。,0.999880755,1,5,青岛海泉湾海洋之星摩天轮,pretty good
"设施很好，
【环境】不错，看海风景优美",0.999290303,1,5,青岛海泉湾海洋之星摩天轮,pretty good
工作人员很热情，游客也不是很多，摩天轮很平稳，总体感觉不错。,0.999780875,1,5,青岛海泉湾海洋之星摩天轮,pretty good
工作人员服务热情，环境很优美，推荐,0.977238731,1,5,青岛海泉湾海洋之星摩天轮,pretty good
家人来玩不错，很宽敞，景色不错,0.999868506,1,5,青岛海泉湾海洋之星摩天轮,pretty good
超级开心的，超级好，最顶上可以看见远处的山。但是海边就不太好了，海很漂亮但是沙滩上好多垃圾,0.987855941,1,4,青岛海泉湾海洋之星摩天轮,pretty good
还会再来，很有意思，适合情侣，很浪漫,0.993254551,1,5,青岛海泉湾海洋之星摩天轮,pretty good
还不错，长这么大第一次坐摩天轮。,0.994750591,1,5,青岛海泉湾海洋之星摩天轮,pretty good
强烈推荐，可以很直观的看到对面的大海以及奥特莱斯商场，给人的感觉无比震撼，做完一圈还想接着坐，拍照都不够拍的！！！好评！！！！,0.996248881,1,5,青岛海泉湾海洋之星摩天轮,pretty good
环境不错的，情侣来坐摩天轮很浪漫，可以看海，一举两得,0.9999925,1,5,青岛海泉湾海洋之星摩天轮,pretty good
风景不错，推荐来玩一下，工作人员态度很好,0.990217583,1,5,青岛海泉湾海洋之星摩天轮,pretty good
很好玩 一般十五分钟,0.848448137,1,5,青岛海泉湾海洋之星摩天轮,pretty good
针不戳,0.677492108,1,5,青岛海泉湾海洋之星摩天轮,just so so
环境很好，里面有空调，一点也不会闷热，服务态度也很好，强烈推荐哦,0.213725922,0,5,青岛海泉湾海洋之星摩天轮,pretty bad
里面有空调，很凉快，景色也好，值得推荐,0.977979787,1,5,青岛海泉湾海洋之星摩天轮,pretty good
棒棒哒！推荐打卡，风景很好，靠着大海，空气也新鲜，就是卫生间离得太远了，最近的卫生间在停车场二楼那边卖衣服的街上，有点小远呀，这么大的摩天轮竟然没有卫生间！,0.669048017,1,5,青岛海泉湾海洋之星摩天轮,just so so
风景不错，空调挺好的,0.970123104,1,5,青岛海泉湾海洋之星摩天轮,pretty good
还不错，挺好的，人不多，服务态度好，适合旅游，㊗️卖家生意兴隆，财源广进，财源滚滚随春到，喜气洋洋伴福来,0.889353984,1,3,青岛海泉湾海洋之星摩天轮,pretty good
海边很美好，大曼很带劲，海风很不错 我会让你喜欢,0.999953803,1,5,青岛海泉湾海洋之星摩天轮,pretty good
服务周到，景色很美,0.999330425,1,5,青岛海泉湾海洋之星摩天轮,pretty good
可以去，我去的时候大雾，没看到什呢,0.73673755,1,5,青岛海泉湾海洋之星摩天轮,pretty good
带孩子来的 宝宝很开心 下次还来,0.98716935,1,5,青岛海泉湾海洋之星摩天轮,pretty good
"景色宜人，服务好，母亲节带妈妈来坐
【环境】
【交通】
【项目】
【餐饮】",0.999142054,1,5,青岛海泉湾海洋之星摩天轮,pretty good
一开始觉着没啥压力 上到上面才觉着有点恐怖 总体还算不错 没坐过的可以坐坐,0.319777364,0,3,青岛海泉湾海洋之星摩天轮,just so so
提好的  工作人员也很热情,0.844289207,1,5,青岛海泉湾海洋之星摩天轮,pretty good
传说中的青岛最大的摩天轮，在海泉湾度假区的海边。摩天轮很高，能看到博览中心，期待能有更好的发展,0.999999976,1,5,青岛海泉湾海洋之星摩天轮,pretty good
这个地方没什么玩的，项目太少了，,0.262083579,0,2,青岛海泉湾海洋之星摩天轮,pretty bad
很好 一家人第一次坐摩天轮 很开心,0.995952988,1,5,青岛海泉湾海洋之星摩天轮,pretty good
还不错的旅行,0.937049708,1,4,青岛海泉湾海洋之星摩天轮,pretty good
很不错，孩子很开心！还会再来,0.993043365,1,5,青岛海泉湾海洋之星摩天轮,pretty good
海边的摩天轮、超级棒！带孩子来、强烈推荐！！海滩也很干净、非常好的一次体验！,0.999832727,1,5,青岛海泉湾海洋之星摩天轮,pretty good
去了海洋之星也就只有一个摩天轮了，周围连个游客都没有，人烟稀少，设施也少，没什么玩的,0.523983225,1,2,青岛海泉湾海洋之星摩天轮,just so so
感受高空的美景，不错！,0.954744786,1,5,青岛海泉湾海洋之星摩天轮,pretty good
环境挺好的，服务也挺好，上去风景很漂亮，推荐~,0.999606729,1,5,青岛海泉湾海洋之星摩天轮,pretty good
设施很好 环境很好,0.933642592,1,5,青岛海泉湾海洋之星摩天轮,pretty good
非常好，环境也很棒，运行速度很ok，推荐情侣约会，交通也很方便！,0.99975461,1,5,青岛海泉湾海洋之星摩天轮,pretty good
海边最高的摩天轮，环境服务都非常好，值得经常来玩,0.998153833,1,5,青岛海泉湾海洋之星摩天轮,pretty good
很好 服务态度好,0.791458919,0,5,青岛海泉湾海洋之星摩天轮,pretty good
很好 态度很好,0.882125727,0,5,青岛海泉湾海洋之星摩天轮,pretty good
很好玩，孩子很喜欢,0.987771921,1,5,青岛海泉湾海洋之星摩天轮,pretty good
一直想去黄岛的，但太远了 ，朋友说即墨的摩天轮也很棒。于是我来打卡了。推荐！！！,0.876893937,1,4,青岛海泉湾海洋之星摩天轮,pretty good
非常的好玩，景色漂亮，强烈推荐 能看见大海 能看见山，真不错，大家都来玩,0.999880802,1,5,青岛海泉湾海洋之星摩天轮,pretty good
特别好，临海，风景很不错哎，真的值得来的。还不错,0.999932498,1,5,青岛海泉湾海洋之星摩天轮,pretty good
拍照绝了  工作人员特别好！！！,0.463944861,1,5,青岛海泉湾海洋之星摩天轮,just so so
景色很美，紧靠大海，还是可以的，，，，，，，，,0.95295213,1,4,青岛海泉湾海洋之星摩天轮,pretty good
孩子很喜欢。推荐来玩,0.973331236,1,5,青岛海泉湾海洋之星摩天轮,pretty good
很好，很好玩,0.956793415,1,5,青岛海泉湾海洋之星摩天轮,pretty good
风景很漂亮哦，非常适合拍美美的照片，感觉意犹未尽。交通方便，适合和你最爱的那个她一起喔⊙ω⊙,0.999937088,1,5,青岛海泉湾海洋之星摩天轮,pretty good
服务很好，风景也不错，应该是海边最高的摩天轮了吧，很喜欢,0.999886216,1,5,青岛海泉湾海洋之星摩天轮,pretty good
非常好，环境优美，欣赏风景,0.993129579,1,5,青岛海泉湾海洋之星摩天轮,pretty good
好玩真好玩。大家都来感受一下吧,0.970224063,1,5,青岛海泉湾海洋之星摩天轮,pretty good
日落的时候去坐 太美了，绝佳,0.926205604,1,5,青岛海泉湾海洋之星摩天轮,pretty good
真刺激，高处看海，强烈推荐,0.933698529,1,5,青岛海泉湾海洋之星摩天轮,pretty good
环境优美，景色迷人，工作人员服务态度很好，以后还会再来的。,0.986257744,1,5,青岛海泉湾海洋之星摩天轮,pretty good
孩子们超喜欢！在家门口也有这么高大上的游乐场所，简直太棒啦！溜娃好去处！,0.98423675,1,5,青岛海泉湾海洋之星摩天轮,pretty good
超级好超级好玩超级好玩推荐,0.92791095,1,5,青岛海泉湾海洋之星摩天轮,pretty good
我有点恐高,0.28733523,1,5,青岛海泉湾海洋之星摩天轮,pretty bad
服务热情 强烈推荐。,0.81974077,1,5,青岛海泉湾海洋之星摩天轮,pretty good
好评好评,0.368077201,1,5,青岛海泉湾海洋之星摩天轮,just so so
海洋之星 青岛最高的摩天轮。一直想来。正值旅游淡季，带着心爱的人来坐一次摩天轮🎡，很不错的一次体验。,0.99999955,1,5,青岛海泉湾海洋之星摩天轮,pretty good
环境优美，服务热情，一览无余，风景优美，非常好的一次体验,0.999656221,0,5,青岛海泉湾海洋之星摩天轮,pretty good
设施比较新，感觉一圈很快结束，不算太高，还可以吧。。,0.750594026,0,4,青岛海泉湾海洋之星摩天轮,pretty good
没开空调，说实话热的想跳下来！一路折磨,0.011102342,0,1,青岛海泉湾海洋之星摩天轮,pretty bad
不错，美，漂亮，喜欢粉色的轿厢，美就完了，服务也很好，风景也优美,0.999999272,1,5,青岛海泉湾海洋之星摩天轮,pretty good
非常好的一次旅游，风景非常秀美。大海的味道,0.545475894,1,5,青岛海泉湾海洋之星摩天轮,just so so
工作人员虽然很忙  但是很热心  景色漂亮  家人都喜欢  还会再来,0.998970087,1,4,青岛海泉湾海洋之星摩天轮,pretty good
"还可以吧！
【环境】
【交通】
【项目】
【餐饮】",0.910340898,1,3,青岛海泉湾海洋之星摩天轮,pretty good
环境优美，服务热情，不错！,0.990807677,1,4,青岛海泉湾海洋之星摩天轮,pretty good
服务无敌好，售票人员很耐心的和我解说，很棒,0.989215277,1,5,青岛海泉湾海洋之星摩天轮,pretty good
从海泉湾度假区进来右拐进地下停车场，一直网上走到头，车停停车场，出门就是！风景很好！,0.663892434,1,5,青岛海泉湾海洋之星摩天轮,just so so
领孩子体验一下高空的感觉，很不错，风景优美值得一看,0.999550548,1,5,青岛海泉湾海洋之星摩天轮,pretty good
非常好，跟妹妹一起来的～,0.841455451,1,5,青岛海泉湾海洋之星摩天轮,pretty good
五星好评，很棒，风景挺好！很棒👍🏻,0.996706035,1,5,青岛海泉湾海洋之星摩天轮,pretty good
从市区开车到一个半小时就到 摩天轮强烈推荐 有88 米高 可以俯瞰海泉湾一切了，,0.988367236,1,5,青岛海泉湾海洋之星摩天轮,pretty good
好玩好玩，景好！！！！景太美了有大海能看着完整的海岸线，,0.99936131,1,5,青岛海泉湾海洋之星摩天轮,pretty good
很好，非常好，感觉很好，特别好，，，，，，，，，，，，,0.978362456,1,5,青岛海泉湾海洋之星摩天轮,pretty good
验票很快 上面风景不错,0.988093444,1,5,青岛海泉湾海洋之星摩天轮,pretty good
去的时候天气不算太好，天冷风大，人很少。到高空中的风景一般。体验一下可以，不会做第二次。,0.233697218,1,3,青岛海泉湾海洋之星摩天轮,pretty bad
很好 环境好 服务好是海边最高的摩天轮 值得推荐,0.999559165,1,5,青岛海泉湾海洋之星摩天轮,pretty good
一次很好的体验  正直值夕阳落山  自然的美展现的更真实   大家快来体验哦～,0.999999297,1,5,青岛海泉湾海洋之星摩天轮,pretty good
在周围卖票的，比美团便宜多了，建议大家去了在旁边有些黄牛那买行了,0.088172082,0,2,青岛海泉湾海洋之星摩天轮,pretty bad
环境好，很稳，上升到最高处可以把海边的美景一览无余,0.997517866,1,5,青岛海泉湾海洋之星摩天轮,pretty good
不错哦嘻嘻……玩的的时候也可以去看看这,0.996187968,1,3,青岛海泉湾海洋之星摩天轮,pretty good
不错，风景挺好的,0.989575903,1,5,青岛海泉湾海洋之星摩天轮,pretty good
"非常好的体验，摩天轮运行平稳，可以看到美丽的风景，今天天气不太好，要不然景色更美。
工作人员热情周到，值得再来。",0.999999866,1,5,青岛海泉湾海洋之星摩天轮,pretty good
环境很不错 服务人员态度很棒，值得推荐,0.99450167,1,5,青岛海泉湾海洋之星摩天轮,pretty good
很不错的摩天轮，和朋友一起，以后还会来哒！,0.995879707,1,5,青岛海泉湾海洋之星摩天轮,pretty good
很好的体验过程  大家快来体验   风景很美  心情很好！,0.999770804,1,5,青岛海泉湾海洋之星摩天轮,pretty good
"【环境】环境很美，海景很美，
【交通】地铁旁，位置好

【项目】更稳，很喜欢，还会再来",0.999996225,1,5,青岛海泉湾海洋之星摩天轮,pretty good
很好，平稳，没任何的恐高感,0.89377437,0,5,青岛海泉湾海洋之星摩天轮,pretty good
来好几次了，服务周到，环境优美，超级适合情侣打卡,0.990395981,1,5,青岛海泉湾海洋之星摩天轮,pretty good
很愉快的感觉,0.698533182,1,5,青岛海泉湾海洋之星摩天轮,just so so
很开心很快乐,0.994041227,1,5,青岛海泉湾海洋之星摩天轮,pretty good
很不错，景色优美自然，很喜欢这里，轻松愉快的好地方,0.999943028,1,5,青岛海泉湾海洋之星摩天轮,pretty good
售票员小姐姐特别漂亮 服务态度特别好  小哥哥人也特别好。特别热心。,0.999763444,1,5,青岛海泉湾海洋之星摩天轮,pretty good
很好，很开森，在空中呆了十分钟，还会来的！,0.503056247,1,3,青岛海泉湾海洋之星摩天轮,just so so
真的好大呀，而且很好找，出地铁站坐一站公交就到了，周围环境也很好，一家人或者情侣来坐，最好啦，哈哈,0.999524491,1,5,青岛海泉湾海洋之星摩天轮,pretty good
环境很好，孩子玩的很开心，停车很方便,0.995703564,1,5,青岛海泉湾海洋之星摩天轮,pretty good
环境还是不错的，第一次尝试着去坐，有点恐高。,0.932828995,1,4,青岛海泉湾海洋之星摩天轮,pretty good
服务很好，摩天轮超级高，大海就在眼前，又是愉快的一天！,0.998974147,1,5,青岛海泉湾海洋之星摩天轮,pretty good
挺好的。据说在最高处接吻可以永远在一起。,0.918771737,1,5,青岛海泉湾海洋之星摩天轮,pretty good
非常好玩，强烈推荐，喜欢的可以抽时间过来,0.83436932,1,5,青岛海泉湾海洋之星摩天轮,pretty good
风景很不错 在上面一圈能有20分钟 很安静！,0.971210461,1,5,青岛海泉湾海洋之星摩天轮,pretty good
风景优美，波涛阵阵，八十多米高的摩天轮上，尽收眼底，下次还来,0.997339022,1,5,青岛海泉湾海洋之星摩天轮,pretty good
环境优美，服务很好。风景美丽，值得推荐，beautiful。,0.999595204,1,5,青岛海泉湾海洋之星摩天轮,pretty good
环境风景特别好看，海边最高的摩天轮，服务态度超级好,0.998043491,1,5,青岛海泉湾海洋之星摩天轮,pretty good
海丰怡人，一览无余，下次再来值得推荐。,0.997670892,1,5,青岛海泉湾海洋之星摩天轮,pretty good
很好，孩子很喜欢，设施也给人很安全的感觉，推荐,0.991890053,1,5,青岛海泉湾海洋之星摩天轮,pretty good
特别好，特别稳，海景特别不错，值得尝试,0.999324936,1,5,青岛海泉湾海洋之星摩天轮,pretty good
哇塞.！看日落得时候和对象一起太美好了,0.799688874,1,4,青岛海泉湾海洋之星摩天轮,pretty good
很好很有意思，吓得不轻,0.978919079,0,4,青岛海泉湾海洋之星摩天轮,pretty good
很好~强烈推荐~,0.845690893,1,5,青岛海泉湾海洋之星摩天轮,pretty good
还行  也没啥感觉  风大  恐高慎入  摇摇晃晃,0.030259948,0,3,青岛海泉湾海洋之星摩天轮,pretty bad
很好，推荐大家,0.845690893,1,5,青岛海泉湾海洋之星摩天轮,pretty good
不错，环境也挺好的，停车方便，,0.973133247,1,4,青岛海泉湾海洋之星摩天轮,pretty good
海边美景尽收眼底，夕阳无限美,0.999769733,1,5,青岛海泉湾海洋之星摩天轮,pretty good
和好的体验，孩子很喜欢,0.973283716,1,5,青岛海泉湾海洋之星摩天轮,pretty good
还行，挺好的，不错。。。。。。。。,0.958950575,1,3,青岛海泉湾海洋之星摩天轮,pretty good
孩子非常开心，比黄岛的高很多,0.958259623,1,5,青岛海泉湾海洋之星摩天轮,pretty good
青岛最好的摩天轮🎡,0.992252301,1,5,青岛海泉湾海洋之星摩天轮,pretty good
完美的体验，强烈推荐,0.922468332,1,5,青岛海泉湾海洋之星摩天轮,pretty good
"【环境】不错
【交通】便利
【项目】挺好的
【餐饮】不错",0.999759006,1,5,青岛海泉湾海洋之星摩天轮,pretty good
还不错，就是玻璃该擦了，看不清外面的景色,0.901573575,0,3,青岛海泉湾海洋之星摩天轮,pretty good
特别好，值得购买！看风景特别好，心情特别好,0.996715671,1,5,青岛海泉湾海洋之星摩天轮,pretty good
"地方好像还没开发好，里面的商业街也很不错，很有感觉。
整体风景不错。",0.999591619,1,4,青岛海泉湾海洋之星摩天轮,pretty good
售票人员服务态度很好，所有工作人员都很好，摩天轮很高很漂亮，推荐大家来做,0.999340136,1,5,青岛海泉湾海洋之星摩天轮,pretty good
挺大的摩天轮，风景很好，推荐天气好的时候玩,0.998812385,1,5,青岛海泉湾海洋之星摩天轮,pretty good
还不错，服务周到。就是本人恐高，哈哈哈哈哈,0.996517476,1,3,青岛海泉湾海洋之星摩天轮,pretty good
现场买票25，美团40，多花了15大洋！差评,0.000166282,0,1,青岛海泉湾海洋之星摩天轮,pretty bad
环境特别好，还放着很浪漫优美的音乐，特别棒,0.999864769,1,5,青岛海泉湾海洋之星摩天轮,pretty good
挺大的摩天轮，很好玩，孩子很喜欢,0.999607386,1,5,青岛海泉湾海洋之星摩天轮,pretty good
听卖票的工作人员介绍摩天轮高88米，是青岛最高的观海摩天轮，不错，跟朋友来第二次了，推荐情侣过来打卡,0.999955158,1,5,青岛海泉湾海洋之星摩天轮,pretty good
"特别棒，有个烤鱿鱼特别好吃，风景绝美，个人建议在日落的时候去，风景比较美，停车位也比较足，人也很多，摩天轮下面刚好是一个海，做完摩天轮还能下海，小吃也有很多，尽量不要晚上去
【环境】
【交通】
【项目】
【餐饮】",1,1,4,青岛海泉湾海洋之星摩天轮,pretty good
服务好环境好，地方优美景色迷人，游玩的好地方,0.994147906,1,5,青岛海泉湾海洋之星摩天轮,pretty good
"【环境】环境优美，服务态度很好，下次再来
【项目】特别好",0.978078214,1,5,青岛海泉湾海洋之星摩天轮,pretty good
很好看,0.820453311,1,5,青岛海泉湾海洋之星摩天轮,pretty good
风景不错，环境很好，放假来这里溜达溜达很不错。,0.999081335,1,5,青岛海泉湾海洋之星摩天轮,pretty good
"【环境】环境优美 景色迷人
【交通】交通便利
【餐饮】热饮也非常好喝",0.998823042,1,5,青岛海泉湾海洋之星摩天轮,pretty good
服务非常棒，工作人员讲解很细致，环境不错适合带着小朋友来玩，一次不错的体验。,0.999997829,1,5,青岛海泉湾海洋之星摩天轮,pretty good
很不错的地方，坐摩天轮看大海。,0.997642974,1,5,青岛海泉湾海洋之星摩天轮,pretty good
环境优美，适合一大家人来玩。,0.854089966,1,5,青岛海泉湾海洋之星摩天轮,pretty good
感觉非常不错,0.871492196,1,5,青岛海泉湾海洋之星摩天轮,pretty good
售票处员工很热情服务好风景优美景色宜人一览无余,0.999882119,0,5,青岛海泉湾海洋之星摩天轮,pretty good
环境挺好的，能看见全景  服务也很好,0.993942427,1,3,青岛海泉湾海洋之星摩天轮,pretty good
环境很好服务也好风景优美景色宜人,0.998250332,1,5,青岛海泉湾海洋之星摩天轮,pretty good
棒棒哒，跟朋友一起来的，很棒，摩天轮真的超级适合情侣打卡哦，,0.987683724,1,5,青岛海泉湾海洋之星摩天轮,pretty good
风景很好,0.925612384,1,5,青岛海泉湾海洋之星摩天轮,pretty good
服务态度很好，体验不错,0.953146438,0,5,青岛海泉湾海洋之星摩天轮,pretty good
带着孩子去的，时间还可以，感觉有十分钟左右，风景不错,0.98458223,1,4,青岛海泉湾海洋之星摩天轮,pretty good
服务态度十分周到，景色优美，强烈推荐！,0.998432015,1,5,青岛海泉湾海洋之星摩天轮,pretty good
挺好的一个观赏景观的地方，特别的高，速度适中。下面就是一个沙滩，退潮的时候去应该还可以挖点海货，不错的地方，值得推荐,0.99998825,1,5,青岛海泉湾海洋之星摩天轮,pretty good
海洋之星冬天的季节也很美 很高很美 季节好的话可以来做做,0.999725232,1,5,青岛海泉湾海洋之星摩天轮,pretty good
很好，非常好，值得推荐,0.962674892,1,5,青岛海泉湾海洋之星摩天轮,pretty good
很好玩 可以看风景  停车方便 价格也不贵 下次休息还会再来,0.889328709,1,5,青岛海泉湾海洋之星摩天轮,pretty good
好好，服务态度好,0.585667088,0,4,青岛海泉湾海洋之星摩天轮,just so so
很不错 挺高的挺刺激哈哈哈哈 很浪漫跟女朋友一起来,0.999966201,1,5,青岛海泉湾海洋之星摩天轮,pretty good
风景很好，下次还回来，工作人员服务态度很好！,0.955639934,1,5,青岛海泉湾海洋之星摩天轮,pretty good
乘坐过程非常刺激！风景也不错！服务态度也很好！,0.996943467,1,5,青岛海泉湾海洋之星摩天轮,pretty good
很漂亮,0.943293653,1,5,青岛海泉湾海洋之星摩天轮,pretty good
哇这个环境太漂亮了啊，非常推荐到这里来，下次还会来的。,0.943497905,1,5,青岛海泉湾海洋之星摩天轮,pretty good
风景很好，很稳，很安全，海景很漂亮。,0.999858575,1,5,青岛海泉湾海洋之星摩天轮,pretty good
带孩子去的，开心的不行了，摩天轮挺好玩🎡,0.996564267,1,4,青岛海泉湾海洋之星摩天轮,pretty good
"期待了好久的摩天轮~
没想到在即墨成功打卡，嘿嘿
一圈20分钟左右，在远处压根看不到摩天轮在动，进去也超稳的，像我这种胆子这么小的，也不会害怕，可以看到好看的景，浪花一层一层还有尽收眼底的红瓦绿树",0.993803967,1,5,青岛海泉湾海洋之星摩天轮,pretty good
白天去的，没有晚上那么绚丽，不过真的不错哦,0.977284909,1,4,青岛海泉湾海洋之星摩天轮,pretty good
挺好的呀，风景不错恐高症不要去了,0.927725249,1,3,青岛海泉湾海洋之星摩天轮,pretty good
玩的非常开心，景色也漂亮，值得游玩的景点~,0.999084023,1,5,青岛海泉湾海洋之星摩天轮,pretty good
设备还可以，我们去的时候只有我们两个人，晚上了，都没有开灯，对你爱答不理的，旁边吃东西的小姐姐很好,0.139595663,1,2,青岛海泉湾海洋之星摩天轮,pretty bad
"一圈大概20分钟，风景还不错~下午去的，有点小阴天，没拍到夕阳。
摩天轮下午6点就停止运行了
十一假期去的，人不多。
旁边有个奥特莱斯，店铺很冷清，意外的是有几家店折扣很大，意外收获，买了件衣服，3折左右~",0.99974864,1,4,青岛海泉湾海洋之星摩天轮,pretty good
海风有点大，别的还好，挺恐怖的,0.926894313,1,3,青岛海泉湾海洋之星摩天轮,pretty good
带孩子座上去，孩子很兴奋，视线可以，就是玻璃有点🌸,0.992807343,1,4,青岛海泉湾海洋之星摩天轮,pretty good
"还可以吧。              

【环境】。    就是时间有点短",0.720807906,1,3,青岛海泉湾海洋之星摩天轮,pretty good
风景很美丽还有海鸥，对于恐高的人来说也完全不会害怕~ 赶紧带小伙伴们过来玩吧！,0.994322301,1,5,青岛海泉湾海洋之星摩天轮,pretty good
挺好玩的，孩子喜欢做，下次去还要去玩✊✊✊,0.98188748,1,3,青岛海泉湾海洋之星摩天轮,pretty good
环境不错,0.907206345,1,5,青岛海泉湾海洋之星摩天轮,pretty good
环境特别好，风景秀丽，服务态度非常好，游玩体验完美，强烈推荐！！！,0.984173512,1,5,青岛海泉湾海洋之星摩天轮,pretty good
这么好玩的地方，强烈推荐，服务也很好，售票室小姐姐很漂亮吗⊙∀⊙！！,0.986397271,1,5,青岛海泉湾海洋之星摩天轮,pretty good
女儿很喜欢坐，每次来都要转一圈！现在天冷了我们来的时候没有人做！！坐完喝杯热奶茶☕️ 完美！！,0.95924062,1,5,青岛海泉湾海洋之星摩天轮,pretty good
