,评论,得分,时间,点赞,回复
118,感觉很好，你看起来有意思的多,5.0,2017/11/13,0,0
119,很好   就是我有点恐高,5.0,2017/10/16,0,0
120,导航过去的，停车场挺大的，还算好找,5.0,2017/11/12,0,0
121,不错，和儿子一起，儿子不怕我倒是怕的不行，太恐怖,5.0,2017/11/10,0,0
122,值得一去的，里面有空调很凉快，看到海景心情舒畅，不过有点怕怕的，整个唐岛湾尽收眼底，位置在海上嘉年华，交通方便，购物美食看景都可以，夜晚看景应该也很好看，来黄岛不要错过奥，唐岛湾公园有租多人车的，可以沿着海边看景很惬意，非常推荐,5.0,2017/7/31,3,2
123,一圈即一生，1314,5.0,2017/11/12,0,0
124,挺好的，就是时间太短，,4.0,2017/10/7,0,0
125,只有一个建议，如果今日内不限次数的玩就好了，哈哈,5.0,2017/7/11,1,0
126,下雨上去看不清,4.0,2017/9/10,0,0
127,摩天轮一圈13分14秒，盒好姐妹一起去的。,5.0,2017/9/6,1,0
128,景色很好，带孩子来玩的孩子们都很开心。非常好！美团用起来很方便。,5.0,2017/8/2,0,0
129,酷毙了，第一次上那么高的地方，也是第一次感觉我恐高，……很美_夜景。以后有机会。白天也要来，一定一定！！！😘😘😘,5.0,2017/9/12,0,0
130,挺好的，方便不用排队购票，不需要换票，扫码即可,5.0,2017/8/23,0,0
131,和家人一起，看一下脚下的风景，真好,4.0,2017/9/6,0,0
132,跟男朋友去的，很开心。,5.0,2017/9/24,0,0
133,过来旅游顺便出来逛逛  黄岛附近好像就只有这个吧  带孩子出来玩的  这里设施很好正好碰到在这过生日的   哈哈哈   感受一下呗  还是很满意的呢,5.0,2017/7/8,2,2
134,刺激，就是时间太快了欣赏不够美景,5.0,2017/8/6,0,0
135,不错，建议白天去,5.0,2017/7/30,0,0
136,第一次坐  以前想坐 没人一起  现在有人了  珍惜,5.0,2017/6/26,0,0
137,很棒，同学来玩的,5.0,2017/7/9,0,0
138,特别好，可以俯瞰整个黄岛景观，孩子很高兴,5.0,2017/8/4,0,0
139,刚好赶上维护，等了一会儿，孩子们第一次坐很开心！,4.0,2017/8/3,0,0
140,还是不要上去了，下边看更美,4.0,2017/7/9,0,0
141,青岛之眼很棒 摩天轮的设计非常fashion 特别喜欢它的颜色 美中不足就是时间太短,5.0,2017/5/29,2,0
142,超级美丽啊就是时间短,5.0,2017/8/7,0,0
143,挺好的，能看到很远,5.0,2017/8/8,0,0
144,琴岛之眼哇，真的好高好高哎。,5.0,2017/7/30,0,0
145,摩天轮很漂亮，晚上看夜景很美。,5.0,2017/8/5,0,0
146,不错，孩子玩的很高兴,5.0,2017/7/29,0,0
147,非常好，比现场买票便宜20块钱，超值的！摩天轮也好喜欢，宝宝说下次还要做！,5.0,2017/4/9,0,0
148,很美，海景很棒，前提是你敢看，哈哈哈哈,5.0,2017/5/27,0,0
149,风光很美，孩子很兴奋,5.0,2017/5/28,0,0
150,在高处看景色真的是不一样的感觉。第一次坐还是有点小忐忑，不过还好，有好友相伴。,4.0,2017/5/17,0,0
151,坐在里面挺安全的，慢慢悠悠的,5.0,2017/5/28,0,0
152,挺好的，朋友有点小害怕,4.0,2017/5/23,1,0
153,特别好，孩子一定要玩，风景不错。服务人员也很nice,5.0,2017/5/3,0,0
154,不错哟。合适。要是有本地身份证就好啦，可以免费,5.0,2017/5/21,0,0
155,速度很快就转了一圈。不是太好玩，带孩子体验一下,4.0,2017/5/19,0,1
156,嗯因为没带学生证又重新买的票，风景不错，有风挺晃得。,4.0,2017/4/8,0,0
157,去的晚了人不多 孩子非要去坐 还嚷嚷着不要下来,5.0,2017/3/27,0,0
158,挺好的，感觉也挺安全的，很慢很稳。,5.0,2017/2/8,2,0
159,偶尔做一次感觉不错昂,5.0,2017/4/15,0,0
160,还不错，一圈十四分钟，能看到晚上城市夜景，很漂亮。,4.0,2017/4/7,0,0
161,带孩子去的，孩子9个月第一次坐，可惜是晚上，他不太乖,5.0,2017/4/7,0,0
162,风景很不错，有点恐高但是很安全，下次晚上去,4.0,2017/2/27,0,0
163,真的很漂亮 就是有点贵 晚上去看的 景色很不错 就是有点脏哦 照相玻璃脏脏的 其他的都很好,4.0,2017/3/29,0,0
164,来就是感受下这种居高临下的感觉！遗憾的是今天气不给力。,3.0,2017/4/7,0,0
165,很好 就是有点吓人,5.0,2017/3/23,0,0
166,服务还可以，一圈下来没有想象的那么慢，还可以吧！,4.0,2017/1/2,0,0
167,挺好的，带着家人一块去的，很安全！,5.0,2016/12/3,0,0
168,第一次做摩天轮，到最高点时还是有点晕的。😬,5.0,2016/10/16,0,0
169,从摩天轮上往下看的感觉好好，和老公两个人一起去的，希望下次去的时候是三口人,5.0,2016/10/12,0,0
170,孩子很喜欢，总体很不错，视野好，开阔景色也不错，,4.0,2016/12/2,0,0
171,设备还可以，孩子玩得很开心，但觉得价格有点贵。,5.0,2016/12/3,0,0
172,服务不错，里面有空调，仓内设计简单方便，只是晚上视线不是太好，要是两圈就好了，嘻嘻～～,4.0,2016/10/6,1,0
173,检票的速度很快，就是去的时候人有点少,5.0,2016/12/4,0,0
174,设施不错 空调很暖和 能独立控制就好了 高度不如想象的高 转一圈时间挺短的 整体还不错,4.0,2016/11/25,0,0
175,价钱还是太贵了 建议骄箱里能放音乐,5.0,2016/12/2,0,0
176,很不错，一个人省十块钱，以后座还团。,5.0,2016/12/4,0,0
177,好很好，非常好，特别好，一家四口做的，都玩的很开心,5.0,2016/11/20,0,0
178,在最高处感觉不错。景色也好，如果周边设施再齐全点就好了，那对男女都可开发你的,5.0,2016/9/25,0,0
179,晚上看夜景很不错，很值得一去，还打算再去,5.0,2016/10/5,0,0
180,怎么说，摩天轮就是慢慢转着，坐着也没什么感觉，不会觉得晕，到顶上可以俯瞰大海，感觉还不错。在上面拍拍照还是不错的，,5.0,2016/10/15,0,0
181,还可以吧，毕竟是路过去坐坐，让我遇到了人生中的她,5.0,2016/11/13,0,0
182,玩得很开心。，超级喜欢。下次有机会还会再来玩,5.0,2016/11/13,0,0
183,很标志的一个建筑，做着很平稳！一点也没有眩晕感！能俯瞰开发区夜景，真的很不错！,5.0,2016/10/6,0,0
184,琴岛之眼摩天轮真的很棒出票很快服务态度很好！,5.0,2016/10/4,0,0
185,地理位置方便，吃喝玩乐还可以购物，周六周日或者节假日算是一个比较好的去处,5.0,2016/10/4,0,0
186,安全设施很好，非常高很喜欢……,5.0,2016/10/7,0,0
187,环境不错，风景也挺好，就是感觉转得有点快,2.0,2016/11/14,0,0
188,最不满意的 最不愉快的一次 美团出票 现场验证不了 然后没办法现场又买的票 结果等我坐完摩天轮下来 又显示验证了 我这就等于花了双倍的钱才做了一次摩天轮 真的很无语 打电话投诉 居然说有可能是验证延迟 但是无法退票 我就这么吃了个哑巴亏 强烈建议亲们 不要在美团 团这种票 本来想省钱 结果却成了冤大头 人家牛哄哄的 好像我为了几个票钱骗他们似的 没有一点理可讲 投诉到最后 还是那个客服人员送了我30的代金券 算是弥补一下 真是花钱也没玩好 堵心 以后再也不在这团这种票了 气人,1.0,2016/8/31,3,0
189,很好…在开发区屹立了好多年，头一次坐，14分钟,5.0,2016/5/23,0,0
190,设施绝对一流，服务超级细致，环境360度三维全景立体,5.0,2016/10/7,0,0
191,挺高的 急急忙忙慌慌张张坐的最后一班 就是黄岛的夜景如果再美点就好了,5.0,2016/10/2,0,0
192,不错，挺好玩的，转了一圈可以看看海景，心境也会不一样。,5.0,2016/8/22,0,0
193,寡人恐高还是去了，就是想刺激一下。不过朋友立刻找到六十的，表示十分郁闷。,4.0,2016/8/9,0,0
194,和闺蜜👭一起去坐的 服务人员态度好  给我们选的带空调的  说如果不坐空调车会觉得闷  哇  坐上看着自己慢慢往高处爬  自己已经不敢低头看了   和闺蜜面对面坐着  不敢动  然后拍美照   俯瞰青岛  唯我独尊  哈哈  ,5.0,2016/6/25,0,0
195,里边有空调，工作人员很耐心的讲解，不过就一圈,5.0,2016/8/22,0,0
196,带孩子第二次去了，挺好玩的，要是能在高点就过瘾了,4.0,2016/9/20,0,0
197,算是一次不错的游玩经历了，还想再来玩。,5.0,2016/8/7,0,0
198,好爽，感觉很棒，就是时间有点短，没坐够,4.0,2016/9/18,0,0
199,去了好多次，不是当地人，还要钱，不合理,5.0,2016/9/21,0,0
200,跟朋友一起来的，真的很漂亮，只可惜不是晚上去参观，摩天轮上的灯光肯定很好看，晚上在最高点看这座城市的晚景，也是美极了，环境也很好，干净利落，等待区还有空调吹着，排队也不热，强烈推荐去游玩，跟最爱的人一起在夜晚时牵手坐摩天轮，太浪漫了,5.0,2016/5/25,0,0
201,很安全，景色很美带着弟弟妹妹来的，真的挺不错的,5.0,2016/8/9,0,0
202,去的时候人很少，慢悠悠的转了一大圈一点儿都不像想的那么可怕，看风景真不错，服务也很好。,5.0,2016/9/13,0,0
203,环境卫生啥的都很好，服务人员态度也很棒，景美！,5.0,2016/9/21,0,0
204,整体还不错吧，大约十几分钟一圈。就是下午去起雾了，远处的风景都看不到了。建议天气好的时候去，可以看到石油大学的建筑和广场，以及唐岛湾的风景，而且摩天轮还是很稳的，速度很慢，不用担心安全问题，服务人员也会耐心指引,4.0,2016/6/21,0,0
205,感觉不错，就是没坐够，时间太短了,5.0,2016/8/31,0,0
206,出票快！就是确认有点麻烦，需要员工用手机确认,5.0,2016/8/7,0,0
207,非常不错，挺好的，以后有机会还回去做坐，玩一玩，下次应该晚上去！,5.0,2016/8/3,0,0
208,好玩，夜景很美，带孩子一起去的，孩子玩的很开心。,5.0,2016/8/8,0,0
209,挺漂亮的。不过白天看估计没有晚上好看。很稳一点没有高空的感觉。有机会肯定会晚上在上去一次。碧海蓝天的感觉还是不错的。看到黄岛现在的变化好快，到处都在建设。*^o^*不错不错！！！！！！！！！！！！！！！,5.0,2016/4/28,12,0
210,风景很好，海滨风光一览无余，全程十二分钟左右，不错的体验！,5.0,2016/7/15,0,0
211,"比以前坐的摩天轮好很多,下次再去～",5.0,2016/6/23,0,0
212,太坑了，没啥意思附近都没建筑好,1.0,2016/6/21,0,0
213,差评。设施很好 服务态度也很好 但是有一个严重影响体验的问题，就是我进去以后尼玛什么也看不到。我带妹子去玩的，第一次，妹子满怀期待跟我长途跋涉慕名而来，就赶上雾霾，雾霾没问题，雾蒙蒙的至少也有朦胧美吧，但是问题不在这里，雾霾里的水蒸气沾在吊舱四面成了毛玻璃，除了那个一掌宽的透气孔我啥也看不透，我174半残的身高趴在透气孔上勉强可以看到一点景，可是我有妹子，妹子164，一脸的茫然，我把她抱起来看那个小窗满满的尴尬啊，这种气氛下的第一次摩天轮体验谁能体会谁能理解，这八十块钱花的感觉不值，我朋友去玩体验那是棒棒的，为什么差距这么大，大雾影响体验你也没告知，我们快乐地进，沮丧地出，我心地善良楚楚可人的妹子都爆粗口了，幸亏她理解咱仙境青岛的天气，可是出来以后跟工作人员讲了一下他们说没办法，这钱挣的有点黑吧我花的有点坑吧，什么都看不到啊，四面毛玻璃根浴室有毛区别，你们负责人有良心就出来评评理啊 敢不敢改造下设施擦擦玻璃，不擦你能不能友好告知，可是我不想就这么算了啊，负责人你出来咱俩聊聊吧,1.0,2016/2/27,4,1
214,和孩子一起去坐的摩天轮，来摩天轮玩是她的愿望之一！,4.0,2016/6/29,0,0
215,还可以吧挺好的去的时候晚上景色优美,4.0,2016/5/4,0,0
216,不知不觉就过去了，挺快的，大约15分钟吧，网购没有票，不开心,3.0,2016/6/27,0,0
217,摩天轮很大 坐在上面感觉很好，海边的风景尽收眼底，就是感觉一圈时间太快了,5.0,2016/6/10,0,0
218,站在高处看风景 很美哦 就是时间过得太快了,5.0,2016/5/5,0,0
219,啦咯啦咯啦咯啦咯啦啦咯啦咯啦咯啦兔兔咯啦咯勇我摸摸弄啦咯啦咯啦咯啦啦咯啦咯啦咯啦啦咯啦咯啦咯啦啦咯啦咯啦咯哦了啦咯啦咯啦啦咯啦咯啦咯啦咯啦咯啦咯啦啦啦啦啦啦啦啦哦了啦咯啦咯啦他累咯啦咯啦咯啦咯啦咯啦咯啦,5.0,2016/5/7,0,0
220,感觉还不错，服务还行！女朋友喜欢！,3.0,2016/6/27,0,0
221,挺好的  十分钟吧大概  不错,4.0,2016/5/21,0,0
222,风景一般般。。感受那个氛围就是,3.0,2016/6/26,0,0
223,感觉非常棒，晚上玩的，气氛挺好。,5.0,2016/5/2,4,0
224,强烈推荐 可以看到开发区的全景 建议天晴的时候去看,5.0,2016/6/13,0,0
225,与实际不符，时间不够，票价与实际娱乐不同价,1.0,2016/6/26,0,0
226,在上面看夜景非常美，值得推荐，不一样的体验,5.0,2016/5/7,0,0
227,挺好的挺好的挺好的╮(╯▽╰)╭,5.0,2016/6/17,0,0
228,也是朋友过来说一直想坐这个摩天轮，我觉得就那样吧，挺一般的,5.0,2016/6/10,0,0
229,服务周全   晚上的夜景很美哦   ,5.0,2016/6/26,0,0
230,很不错，服务也很好……景观很漂亮,5.0,2016/6/6,0,0
231,服务还是很好的，体验也不错，推荐去,5.0,2016/6/8,0,0
232,比预想的有差距，这个价格稍贵，风景一般。,3.0,2016/6/4,0,0
233,去的时候人不多，特意等了粉红色！粉红色的少女梦哈哈哈！海上嘉年华这边绝对是开发区最适合约会的地方！没有之一！不接受任何反驳！逛个街，吃个饭，看个电影，喝个咖啡，坐个摩天轮，完美！不知道怎么安排约会的盆友们请来这里！,5.0,2016/3/4,10,0
234,态度还行，就是一圈很快就转完了，其实挺贵的,3.0,2016/6/5,0,0
235,特别特别想去。但是一开始觉得，好贵啊！然后又觉得，我来一趟不坐一次摩天轮，太亏了，然后我就一咬牙一跺脚，我就买了，然后我就上去了。上去以后就看见，就是在上面看下面的风景特别美特别漂亮，感觉站得高看得远。推荐去玩一次，起码体验一下感觉,5.0,2016/3/27,0,0
236,魔天伦太小，看到的景色有点少，整体一般,3.0,2016/6/5,0,0
237,和同学去的，上去一会就下来了，完全没1过瘾啊,5.0,2016/5/18,0,0
238,跟宝宝去坐的，宝宝不怕，我快吓哭了，虽然速度慢但是慢慢升高时向下看真的有些恐慌！,5.0,2016/4/7,3,0
239,赶到晚上最后一波上的，十三分钟这一圈，由于细雨蒙蒙，夜景看不太清楚，不错～,4.0,2016/5/29,0,0
240,很不错，在海边爬那么高真的看到很美的风景,5.0,2016/4/8,0,0
241,时间短！！！！！！！！！！！！,3.0,2016/5/8,0,0
242,感觉挺好的，第一次坐还有点害怕好评,5.0,2016/4/22,0,0
243,白天去的，晚上去的话应该更好一些，服务态度也很不错,5.0,2016/2/26,3,0
244,挺好的，路过此地，就上去玩了玩，全5分！,5.0,2016/4/16,0,0
245,可以的，没有去的同学可以去看看，多带几个人啊！,5.0,2016/4/16,0,0
246,一直想坐一次摩天轮 终于坐上了 四十块十多分钟 大过年的 几乎没人坐 里面挺干净的 可以鸟瞰唐岛湾 风景美美哒          一直想坐一次摩天轮 终于坐上了 四十块十多分钟 大过年的 几乎没人坐 里面挺干净的 可以鸟瞰唐岛湾 风景美美哒,3.0,2016/2/9,3,0
247,下午去的。只有我们俩人。不是周末也不是假期。很清冷的感觉。转的很慢。确实也挺大。估计转的快了得晕了。晚上走的。但没看到晚上是否有灯光。做的隧道公交去的。但是又倒回去走了一站才到。团购四十。还好转的慢。一圈十几分钟。,4.0,2016/1/22,3,0
248,自己做过了，这次是带朋友做的。挺好的,4.0,2016/4/17,0,0
249,没玩够，太快了，要能多两圈就好了,1.0,2016/4/16,0,0
250,还可以还可以还可以还可以还可以,5.0,2016/4/16,0,0
251,服务不错，就是没啥感觉。周边还在建设,3.0,2016/4/16,0,0
252,贵了！！！！！！！！！！！！！！,5.0,2016/4/14,0,0
253,挺好的风景 孩子很喜欢  靠着海边 风景很美   就是有点恐高，，，，，，去的那天正好海上嘉年华售楼处还有活动。顺道看了恐龙展 ，，宝宝很开心 ，，，下次有机会的话还会带孩子去坐，，也特别推荐情侣去坐 很浪漫噢...,5.0,2016/1/26,0,0
254,摩天轮的工作人员特别nice，提醒我们注意事项，还帮忙搀扶老人孩子。之前去的时候风大，没有开发，工作人员还主动告知了联系方式，可以电话咨询开放时间等。但是这个团购留的电话应该不是摩天轮的，接电话的大姐态度挺不好，一问三不知还很不耐烦，希望美团能核实正确的电话！摩天轮上风景很美，整个唐岛湾一览无余，一圈下来心情都会变美丽。,4.0,2015/10/5,2,0
255,太高了，心里有点悬得慌，整体感觉不错，可以尝试下,5.0,2015/12/6,0,0
256,晚上去夜景很美 人也比较少 安静且美好。俯瞰黄岛夜景，真的很美。如果摩天轮再大点就更好了，不知不觉就下来了。还想再坐一次。自从有了过山车再也没做过摩天轮了。,5.0,2015/10/20,0,0
257,太贵了要是10块钱我会经常来坐的（楼下保持队形）,5.0,2015/11/8,0,0
258,风景很好，尤其是晚上，特别适合约会,5.0,2015/11/2,0,0
259,好玩，太贵！作为标志性游乐设施，很多城市都免费的，这个不用免费也不至于这么贵,4.0,2015/10/8,0,0
260,转的很难，很好玩，大人小孩都可以,5.0,2015/10/4,0,0
261,还不错，就是人少了点不够热闹！,3.0,2015/9/8,0,0
262,时间太短,5.0,2017/8/28,0,0
263,「琴岛之眼摩天轮」来青岛玩顺便打卡这个网红打卡点，白天没什么人，我和老公就在附近转了转，附近都是商业区挺好的，我们到了傍晚在附近吃了点东西就过来了，这个摩天轮🎡要晚上有灯光才好看，到了晚上人特别多，排了半个多小时的队才坐上。听说这个摩天轮转一圈是13分14秒，寓意一生一世😊很浪漫呀，从里面看外面风景挺好的。,4.0,2021/7/25,0,0
264,超级满意，坐摩天轮的感受，可能会有一点点恐高吧，他这个速度还是可以的不是很快，非常刺激，好玩，尤其到最高点的时候看外面的环境超级棒！然后跟情侣的话在最高点亲亲会一辈子在一起，总体来说还不错,5.0,2021/8/9,0,0
